,ind,R2,testAccuracy
0,"{'X10*X6', 'np.square(X3)', 'np.exp(X6)', 'np.exp(X7)', 'np.exp(X8)', 'np.log10(X1)', 'np.log(X9)', 'np.log(X1)', 'np.log(X2)', 'X6*X3', 'np.square(X6)', 'np.sqrt(X3)', 'np.sqrt(X9)', 'np.square(X5)', 'np.exp(X5)', 'np.sqrt(X12)', 'np.log10(X5)', 'np.log(X5)', 'np.sqrt(X4)', 'np.log10(X12)', 'np.sqrt(X8)', 'np.sqrt(X5)', 'np.log10(X11)', 'np.exp(X3)', 'X2*X10', 'np.square(X12)', 'np.log10(X3)', 'np.log(X11)', 'np.exp(X9)', 'np.square(X8)', 'np.log10(X4)', 'np.exp(X11)', 'np.sqrt(X11)', 'X11*X7', 'np.square(X9)'}",0.038117017,-0.210938887
1,"{'X8*X7', 'np.exp(X5)', 'np.sqrt(X6)', 'np.sqrt(X11)', 'np.log10(X5)', 'np.sqrt(X4)', 'X7*X1', 'X10*X3', 'np.log10(X2)', 'np.log(X8)', 'np.square(X9)'}",0.02804578,-0.151875346
2,"{'np.square(X11)', 'np.square(X10)', 'np.square(X3)', 'np.log(X8)', 'np.exp(X7)', 'np.exp(X8)', 'np.sqrt(X1)', 'X6*X5', 'np.log10(X6)', 'np.log(X2)', 'np.log10(X2)', 'np.square(X6)', 'X9*X12', 'np.log(X12)', 'np.sqrt(X3)', 'X11*X9', 'np.sqrt(X9)', 'X4*X8', 'np.exp(X5)', 'np.sqrt(X12)', 'np.sqrt(X10)', 'np.log10(X5)', 'np.log(X5)', 'np.log(X7)', 'np.sqrt(X8)', 'np.sqrt(X5)', 'np.log10(X11)', 'np.exp(X3)', 'np.sqrt(X6)', 'np.sqrt(X7)', 'np.log(X11)', 'np.square(X8)', 'np.log(X3)', 'np.exp(X10)', 'X6*X10', 'np.square(X9)', 'np.log10(X8)'}",0.041226285,-0.200951497
3,"{'np.exp(X6)', 'X5*X7', 'X1*X10', 'np.log10(X1)', 'X11*X4', 'np.log10(X2)', 'np.square(X6)', 'np.log(X12)', 'X3*X6', 'X1*X12', 'np.exp(X5)', 'X10*X7', 'np.sqrt(X8)', 'np.square(X7)', 'X11*X5', 'X8*X11', 'np.log10(X11)', 'np.square(X12)', 'X3*X10', 'np.sqrt(X7)', 'np.square(X8)', 'np.exp(X11)', 'np.log(X3)', 'np.sqrt(X11)', 'np.square(X9)', 'np.log10(X8)'}",0.028774417,-0.166770295
4,"{'X4*X11', 'np.square(X10)', 'np.exp(X6)', 'np.sqrt(X1)', 'np.log10(X1)', 'np.exp(X1)', 'np.log10(X2)', 'np.log(X12)', 'np.exp(X4)', 'np.sqrt(X12)', 'np.exp(X5)', 'np.sqrt(X10)', 'np.log(X5)', 'np.log10(X12)', 'np.sqrt(X5)', 'np.log10(X11)', 'np.square(X12)', 'np.square(X8)', 'X6*X10', 'np.square(X9)', 'X1*X4', 'np.log10(X8)'}",0.031553433,-0.115261821
,,,-0.169159569
