,ind,R2,testAccuracy
0,"{'X2*X8', 'np.exp(X9)', 'np.exp(X4)', 'np.log10(X6)', 'np.square(X14)', 'np.sqrt(X7)', 'np.log(X5)', 'np.log(X7)', 'np.log10(X13)', 'np.log10(X14)', 'np.log10(X3)', 'np.square(X9)', 'np.square(X11)', 'X12*X5', 'X8*X13', 'np.sqrt(X11)', 'np.log(X6)', 'np.log10(X2)', 'X7*X13', 'np.square(X4)', 'np.square(X3)', 'X11*X6', 'np.log10(X7)', 'X5*X10', 'np.log(X12)', 'np.sqrt(X1)', 'np.log10(X12)', 'X5*X6', 'X8*X14', 'np.log10(X4)', 'np.square(X10)', 'np.exp(X3)', 'X12*X14', 'np.exp(X11)', 'X10*X13', 'np.exp(X7)', 'np.log(X11)', 'np.exp(X5)', 'np.sqrt(X8)', 'np.log(X4)', 'np.exp(X13)', 'np.log10(X11)', 'np.log10(X9)', 'np.square(X7)', 'np.square(X2)', 'np.square(X1)', 'np.exp(X14)', 'np.sqrt(X6)', 'np.sqrt(X5)', 'np.sqrt(X9)', 'np.exp(X2)', 'X12*X9', 'np.log(X1)', 'np.sqrt(X12)', 'np.sqrt(X10)', 'X8*X7', 'X1*X12', 'np.square(X12)', 'np.exp(X6)', 'np.log10(X8)', 'np.exp(X10)', 'np.sqrt(X13)', 'np.log10(X1)', 'np.log10(X5)', 'X14*X13', 'np.exp(X8)', 'X9*X1', 'X1*X3', 'np.exp(X12)', 'X2*X7', 'np.sqrt(X2)', 'X4*X8', 'np.sqrt(X14)', 'np.log(X8)', 'np.square(X8)', 'X3*X7', 'X14*X11', 'X6*X7', 'np.log(X9)', 'X14*X2'}",0.923428589,0.85558213
1,"{'np.log10(X6)', 'X10*X5', 'np.log10(X14)', 'X13*X4', 'np.square(X9)', 'X7*X1', 'np.exp(X1)', 'X11*X4', 'np.sqrt(X1)', 'X4*X7', 'np.log10(X4)', 'np.exp(X3)', 'X5*X11', 'X6*X8', 'np.square(X13)', 'np.exp(X14)', 'np.sqrt(X9)', 'np.exp(X2)', 'X6*X1', 'np.sqrt(X10)', 'np.square(X12)', 'np.exp(X6)', 'np.log10(X5)', 'np.log(X9)', 'X12*X11', 'np.sqrt(X2)', 'X13*X14', 'np.log(X13)', 'np.square(X2)', 'X7*X14', 'np.log(X5)', 'np.exp(X4)', 'np.square(X14)', 'np.log(X7)', 'X10*X8', 'np.log10(X3)', 'X11*X7', 'np.square(X11)', 'np.log(X6)', 'np.log10(X7)', 'np.log10(X12)', 'np.log(X12)', 'X12*X14', 'X12*X12', 'X10*X13', 'np.exp(X7)', 'X11*X11', 'X10*X11', 'X5*X13', 'np.log(X4)', 'X11*X2', 'np.sqrt(X8)', 'np.log10(X11)', 'X7*X12', 'np.log10(X9)', 'np.square(X7)', 'np.sqrt(X6)', 'np.sqrt(X5)', 'np.log10(X10)', 'np.log(X1)', 'np.log10(X1)', 'np.square(X6)', 'np.sqrt(X4)', 'np.sqrt(X14)', 'np.log(X8)', 'np.sqrt(X12)', 'X14*X11', 'np.log(X10)'}",0.925359248,0.835025625
2,,,0.825874796
3,,,0.849231617
4,,,0.854763914
,,,0.844095616
