,ind,R2,testAccuracy
0," {'np.square(X8)', 'np.square(X3)', 'np.log(X4)', 'np.sqrt(X1)', 'np.sqrt(X4)', 'np.square(X14)', 'np.square(X6)', 'np.log(X10)', 'np.sqrt(X12)', 'np.log(X14)', 'np.exp(X11)', 'np.log10(X8)', 'np.square(X9)', 'np.log(X5)', 'np.log10(X4)', 'np.sqrt(X9)', 'np.sqrt(X5)', 'np.log10(X12)', 'np.sqrt(X2)', 'np.log10(X14)', 'np.square(X10)', 'np.log10(X10)', 'np.sqrt(X6)', 'np.sqrt(X14)', 'np.exp(X4)', 'np.square(X7)', 'np.log10(X9)', 'np.log(X1)', 'np.exp(X13)', 'np.sqrt(X3)', 'np.square(X13)', 'np.square(X12)', 'np.log10(X5)', 'np.sqrt(X7)', 'np.sqrt(X11)', 'np.sqrt(X13)', 'np.log10(X2)', 'np.log10(X6)', 'np.square(X1)', 'np.log10(X11)', 'np.square(X2)', 'np.sqrt(X8)', 'np.log10(X1)', 'np.exp(X10)', 'np.log(X12)', 'np.exp(X14)', 'np.square(X5)'}",0.889370344,0.889370344
1,"{'np.square(X8)', 'np.square(X3)', 'np.sqrt(X1)', 'np.log(X4)', 'np.sqrt(X4)', 'np.square(X6)', 'np.log(X11)', 'np.log(X10)', 'np.sqrt(X12)', 'np.log(X14)', 'np.exp(X11)', 'np.exp(X6)', 'np.log10(X8)', 'np.square(X9)', 'np.log(X5)', 'np.log10(X13)', 'np.log10(X4)', 'np.log10(X3)', 'np.sqrt(X9)', 'np.sqrt(X5)', 'np.sqrt(X2)', 'np.square(X10)', 'np.log10(X10)', 'np.sqrt(X6)', 'np.sqrt(X14)', 'np.exp(X4)', 'np.square(X7)', 'np.log10(X9)', 'np.log(X1)', 'np.exp(X13)', 'np.exp(X5)', 'np.sqrt(X3)', 'np.log(X9)', 'np.square(X13)', 'np.log10(X5)', 'np.log(X8)', 'np.exp(X7)', 'np.sqrt(X7)', 'np.sqrt(X11)', 'np.sqrt(X13)', 'np.log10(X2)', 'np.log10(X6)', 'np.sqrt(X10)', 'np.exp(X9)', 'np.log10(X11)', 'np.square(X2)', 'np.sqrt(X8)', 'np.log10(X1)', 'np.exp(X3)', 'np.exp(X1)', 'np.exp(X10)', 'np.log(X12)', 'np.exp(X14)', 'np.square(X11)', 'np.square(X5)'}",0.8890984,0.825450872
2,"{'np.exp(X8)', 'np.square(X8)', 'np.square(X3)', 'np.log(X4)', 'np.square(X6)', 'np.log(X11)', 'np.log(X10)', 'np.sqrt(X12)', 'np.exp(X6)', 'np.exp(X11)', 'np.log10(X8)', 'np.log(X5)', 'np.log10(X4)', 'np.log10(X3)', 'np.sqrt(X2)', 'np.log10(X14)', 'np.log10(X10)', 'np.sqrt(X14)', 'np.square(X7)', 'np.log10(X9)', 'np.log(X1)', 'np.exp(X13)', 'np.sqrt(X3)', 'np.square(X13)', 'np.square(X12)', 'np.log10(X5)', 'np.log(X8)', 'np.exp(X7)', 'np.sqrt(X7)', 'np.sqrt(X11)', 'np.log10(X2)', 'np.sqrt(X13)', 'np.square(X1)', 'np.sqrt(X10)', 'np.exp(X9)', 'np.square(X2)', 'np.sqrt(X8)', 'np.exp(X1)', 'np.log(X12)', 'np.exp(X14)', 'np.square(X5)', 'np.exp(X12)'}",0.892232009,0.82901651
3,"{'np.square(X8)', 'np.square(X4)', 'np.square(X3)', 'np.log(X4)', 'np.sqrt(X1)', 'np.sqrt(X4)', 'np.square(X6)', 'np.square(X14)', 'np.log(X10)', 'np.sqrt(X12)', 'np.log(X14)', 'np.exp(X6)', 'np.square(X9)', 'np.log(X5)', 'np.log10(X4)', 'np.log10(X3)', 'np.sqrt(X9)', 'np.log10(X12)', 'np.sqrt(X2)', 'np.log10(X14)', 'np.square(X10)', 'np.log10(X10)', 'np.sqrt(X6)', 'np.sqrt(X14)', 'np.exp(X4)', 'np.square(X7)', 'np.log10(X9)', 'np.log(X1)', 'np.exp(X13)', 'np.exp(X5)', 'np.sqrt(X3)', 'np.log(X9)', 'np.square(X13)', 'np.square(X12)', 'np.log10(X5)', 'np.exp(X7)', 'np.sqrt(X7)', 'np.sqrt(X11)', 'np.sqrt(X13)', 'np.log10(X2)', 'np.log10(X6)', 'np.square(X1)', 'np.sqrt(X10)', 'np.exp(X9)', 'np.log10(X11)', 'np.sqrt(X8)', 'np.exp(X3)', 'np.log10(X1)', 'np.exp(X1)', 'np.exp(X10)', 'np.log(X12)', 'np.exp(X14)', 'np.square(X11)', 'np.square(X5)', 'np.exp(X12)'}",0.889151961,0.825816641
4,"{'np.square(X8)', 'np.square(X4)', 'np.sqrt(X4)', 'np.square(X14)', 'np.log(X10)', 'np.sqrt(X12)', 'np.exp(X11)', 'np.exp(X6)', 'np.square(X9)', 'np.log(X5)', 'np.log10(X138918865512578615)', 'np.sqrt(X2)', 'np.sqrt(X5)', 'np.log10(X14)', 'np.log10(X10)', 'np.sqrt(X6)', 'np.sqrt(X14)', 'np.exp(X4)', 'np.square(X7)', 'np.log10(X9)', 'np.exp(X13)', 'np.exp(X5)', 'np.sqrt(X3)', 'np.log(X9)', 'np.square(X12)', 'np.log10(X5)', 'np.exp(X7)', 'np.sqrt(X7)', 'np.sqrt(X13)', 'np.sqrt(X11)', 'np.log10(X2)', 'np.square(X1)', 'np.sqrt(X10)', 'np.square(X2)', 'np.log10(X11)', 'np.sqrt(X8)', 'np.exp(X3)', 'np.log10(X1)', 'np.exp(X10)', 'np.log(X12)', 'np.exp(X14)', 'np.square(X5)', 'np.exp(X12)'}",0.891886551,0.827518306
,,,
,,,
,,,
