,ind,R2,testAccuracy
0,"{'np.log(X4)', 'np.exp(X16)', 'np.square(X11)', 'np.exp(X21)', 'np.exp(X29)', 'np.exp(X37)', 'X22*X21', 'np.square(X22)', 'np.square(X31)', 'np.exp(X17)', 'np.log(X29)', 'np.sqrt(X18)', 'X21*X39', 'np.log(X19)', 'np.square(X30)', 'np.sqrt(X3)', 'X18*X3', 'np.exp(X20)', 'np.log10(X7)', 'np.sqrt(X10)', 'np.sqrt(X12)', 'np.exp(X2)', 'np.sqrt(X13)', 'X39*X21', 'np.square(X37)', 'np.sqrt(X8)', 'X16*X7', 'np.log10(X15)', 'np.square(X7)', 'np.exp(X27)', 'np.square(X12)', 'np.log(X37)', 'np.exp(X30)', 'np.exp(X34)', 'X26*X33', 'np.exp(X11)', 'np.log(X3)', 'np.sqrt(X36)', 'np.exp(X18)', 'X14*X1', 'np.sqrt(X14)', 'np.log(X18)', 'np.log(X15)', 'np.square(X3)', 'np.square(X15)', 'np.square(X19)', 'np.log(X8)', 'X29*X38', 'np.exp(X8)', 'np.sqrt(X1)', 'X36*X29', 'np.log(X2)', 'np.log10(X30)', 'X19*X31', 'X6*X22', 'np.log10(X35)', 'X24*X15', 'np.square(X17)', 'np.sqrt(X32)', 'np.log(X31)', 'np.square(X14)', 'np.log10(X25)', 'X28*X7', 'np.log10(X19)', 'X19*X1', 'np.log(X7)', 'np.square(X9)', 'X3*X13', 'X4*X32', 'X3*X22', 'X35*X37', 'X25*X3', 'np.exp(X25)', 'np.square(X10)', 'np.exp(X23)', 'np.exp(X6)', 'np.square(X2)', 'np.square(X23)', 'X3*X27', 'np.log(X28)', 'np.exp(X15)', 'X36*X24', 'np.log10(X36)', 'np.square(X6)', 'np.sqrt(X9)', 'X26*X15', 'np.log(X33)', 'np.sqrt(X39)', 'np.sqrt(X4)', 'np.exp(X26)', 'X14*X5', 'X37*X34', 'np.sqrt(X29)', 'np.sqrt(X27)', 'np.log10(X33)', 'np.log(X14)', 'X36*X18', 'np.log(X26)', 'np.square(X8)', 'np.log10(X4)', 'np.log(X23)', 'np.sqrt(X38)', 'X1*X28', 'X5*X28', 'np.log10(X21)', 'X30*X14', 'np.log10(X8)', 'np.log10(X34)', 'np.square(X1)', 'np.sqrt(X23)', 'np.square(X35)', 'X23*X16', 'np.log(X34)', 'np.exp(X31)', 'X5*X22', 'X29*X15', 'X9*X35', 'np.exp(X7)', 'np.sqrt(X30)', 'np.sqrt(X20)', 'np.log(X27)', 'np.log10(X9)', 'np.log(X6)', 'np.square(X32)', 'np.log10(X17)', 'np.exp(X35)', 'np.log10(X2)', 'np.square(X34)', 'np.log(X12)', 'X4*X16', 'np.sqrt(X19)', 'np.square(X38)', 'X31*X28', 'np.sqrt(X26)', 'np.exp(X40)', 'np.sqrt(X25)', 'X8*X32', 'np.log10(X38)', 'np.log10(X11)', 'X8*X7', 'np.sqrt(X6)', 'np.sqrt(X16)', 'X22*X23', 'np.sqrt(X22)', 'np.sqrt(X7)', 'np.exp(X9)', 'np.sqrt(X2)', 'X14*X30', 'X10*X3', 'np.exp(X3)', 'np.log10(X20)', 'np.exp(X33)', 'X5*X5'}",0.8392230197645101,0.8330467387885115
1,"{'np.exp(X16)', 'np.log(X36)', 'X26*X11', 'X15*X23', 'np.exp(X37)', 'X20*X6', 'np.square(X31)', 'np.square(X22)', 'np.log(X1)', 'np.log(X29)', 'X24*X6', 'X29*X7', 'np.log10(X27)', 'np.exp(X17)', 'np.log(X19)', 'np.sqrt(X3)', 'X35*X20', 'X16*X34', 'np.exp(X20)', 'np.log10(X7)', 'np.exp(X4)', 'np.sqrt(X12)', 'np.sqrt(X13)', 'np.log(X21)', 'X5*X13', 'np.square(X37)', 'np.sqrt(X21)', 'np.sqrt(X5)', 'np.log10(X15)', 'np.square(X7)', 'X22*X28', 'X17*X2', 'np.square(X12)', 'np.square(X29)', 'X3*X26', 'np.exp(X11)', 'np.sqrt(X36)', 'np.sqrt(X11)', 'X26*X7', 'np.sqrt(X14)', 'np.log(X18)', 'np.square(X40)', 'np.log10(X31)', 'np.sqrt(X31)', 'np.sqrt(X15)', 'np.square(X3)', 'np.log10(X23)', 'np.log10(X24)', 'np.log(X8)', 'np.square(X15)', 'np.exp(X8)', 'np.sqrt(X37)', 'np.log(X2)', 'np.exp(X38)', 'np.square(X16)', 'np.log10(X30)', 'X19*X20', 'X17*X22', 'X33*X9', 'np.log(X17)', 'X3*X8', 'X34*X26', 'np.log10(X35)', 'np.log10(X37)', 'X29*X19', 'X19*X11', 'X32*X33', 'np.log(X31)', 'np.square(X14)', 'X25*X39', 'np.log10(X19)', 'X37*X5', 'X3*X13', 'X36*X26', 'X4*X32', 'np.sqrt(X28)', 'np.square(X10)', 'np.exp(X23)', 'np.exp(X6)', 'X39*X18', 'np.sqrt(X24)', 'np.square(X23)', 'np.exp(X14)', 'np.log10(X1)', 'np.log(X28)', 'np.exp(X15)', 'X11*X4', 'np.square(X6)', 'X5*X33', 'np.sqrt(X9)', 'X34*X7', 'np.log10(X32)', 'np.log(X33)', 'np.sqrt(X4)', 'np.sqrt(X29)', 'np.square(X20)', 'X29*X32', 'np.log10(X13)', 'np.log10(X33)', 'np.log(X13)', 'np.exp(X28)', 'np.log(X11)', 'np.square(X8)', 'np.square(X18)', 'np.log10(X4)', 'np.log(X23)', 'np.sqrt(X38)', 'X40*X25', 'np.log10(X39)', 'np.log10(X21)', 'np.log10(X40)', 'X15*X7', 'np.log(X40)', 'X17*X38', 'np.square(X35)', 'np.log(X34)', 'np.exp(X31)', 'np.square(X33)', 'np.exp(X7)', 'np.log(X24)', 'np.log(X39)', 'X3*X17', 'X13*X36', 'np.log(X6)', 'np.square(X36)', 'np.log(X25)', 'np.log10(X17)', 'np.square(X34)', 'np.log10(X2)', 'np.log10(X10)', 'X33*X28', 'np.sqrt(X33)', 'np.sqrt(X19)', 'np.exp(X19)', 'np.square(X38)', 'X31*X28', 'np.exp(X40)', 'np.square(X4)', 'np.sqrt(X6)', 'X9*X7', 'np.log(X22)', 'np.sqrt(X16)', 'np.exp(X9)', 'np.sqrt(X2)', 'np.exp(X22)', 'X19*X9', 'X8*X22'}",0.8377207691485777,0.8355151860141299
2,"{'np.log(X4)', 'np.sqrt(X40)', 'X10*X30', 'np.exp(X29)', 'X22*X13', 'np.square(X31)', 'np.log(X1)', 'np.log(X29)', 'np.log10(X14)', 'np.sqrt(X18)', 'np.log10(X27)', 'X36*X35', 'np.square(X30)', 'np.sqrt(X3)', 'np.exp(X4)', 'np.sqrt(X12)', 'np.exp(X2)', 'np.square(X37)', 'X12*X32', 'np.sqrt(X5)', 'X31*X13', 'np.exp(X32)', 'np.square(X7)', 'np.exp(X27)', 'np.square(X12)', 'np.log(X37)', 'np.exp(X30)', 'np.log(X3)', 'np.sqrt(X11)', 'X35*X16', 'X8*X34', 'np.log(X15)', 'X8*X21', 'X25*X28', 'np.sqrt(X31)', 'np.log10(X23)', 'np.log10(X24)', 'np.log(X8)', 'np.log10(X18)', 'np.sqrt(X1)', 'np.sqrt(X34)', 'np.log(X9)', 'np.sqrt(X37)', 'np.square(X16)', 'X39*X32', 'np.exp(X5)', 'np.log10(X35)', 'X14*X28', 'X27*X38', 'X3*X10', 'np.square(X17)', 'np.sqrt(X32)', 'X38*X24', 'np.log(X31)', 'np.square(X13)', 'X25*X39', 'np.log10(X19)', 'np.square(X9)', 'np.log(X30)', 'X9*X31', 'X27*X28', 'np.exp(X6)', 'X27*X10', 'np.sqrt(X24)', 'np.square(X23)', 'np.exp(X14)', 'np.log(X28)', 'np.log10(X22)', 'np.exp(X15)', 'X25*X12', 'np.log10(X5)', 'np.log10(X32)', 'np.log(X33)', 'np.sqrt(X4)', 'np.sqrt(X39)', 'np.sqrt(X29)', 'X21*X24', 'np.log(X26)', 'X1*X16', 'X32*X7', 'np.square(X21)', 'np.sqrt(X38)', 'np.log10(X39)', 'np.log10(X29)', 'X25*X5', 'X7*X19', 'np.square(X1)', 'np.square(X28)', 'np.exp(X31)', 'np.square(X33)', 'np.exp(X7)', 'X6*X37', 'np.log10(X9)', 'np.square(X32)', 'np.square(X36)', 'np.exp(X35)', 'np.log10(X2)', 'np.square(X34)', 'X29*X33', 'np.sqrt(X33)', 'np.sqrt(X19)', 'np.square(X38)', 'np.sqrt(X26)', 'np.exp(X40)', 'np.square(X4)', 'X37*X15', 'np.log10(X38)', 'np.sqrt(X6)', 'np.sqrt(X7)', 'np.sqrt(X22)', 'np.exp(X9)', 'np.sqrt(X2)', 'X29*X20', 'np.exp(X3)'}",0.8341469376472807,0.8309323086049797
3,"{'X9*X24', 'X14*X7', 'np.exp(X21)', 'np.square(X11)', 'np.exp(X29)', 'np.exp(X37)', 'np.sqrt(X17)', 'np.square(X22)', 'np.log(X1)', 'np.log10(X14)', 'np.log10(X27)', 'np.exp(X1)', 'np.square(X26)', 'np.sqrt(X3)', 'X35*X20', 'np.exp(X20)', 'np.log10(X7)', 'np.sqrt(X10)', 'np.sqrt(X12)', 'np.exp(X2)', 'np.square(X37)', 'X39*X7', 'np.log10(X28)', 'np.log10(X16)', 'X3*X28', 'np.sqrt(X5)', 'np.sqrt(X8)', 'np.square(X7)', 'np.exp(X30)', 'np.log(X37)', 'X18*X19', 'np.square(X29)', 'np.exp(X34)', 'np.exp(X11)', 'np.log(X3)', 'np.sqrt(X36)', 'np.exp(X18)', 'X22*X14', 'np.exp(X24)', 'X15*X9', 'np.log(X15)', 'np.log(X18)', 'X22*X17', 'np.square(X40)', 'np.log10(X31)', 'np.sqrt(X31)', 'np.sqrt(X15)', 'np.square(X3)', 'np.log10(X24)', 'X1*X7', 'X28*X2', 'np.exp(X8)', 'X27*X3', 'X15*X21', 'np.sqrt(X34)', 'X11*X30', 'np.log(X9)', 'np.sqrt(X37)', 'np.log10(X6)', 'np.log(X2)', 'np.square(X16)', 'X4*X8', 'np.exp(X5)', 'X33*X26', 'np.log10(X37)', 'np.log(X20)', 'np.log(X38)', 'np.square(X14)', 'np.log10(X25)', 'X13*X18', 'np.exp(X10)', 'np.log(X7)', 'np.square(X9)', 'np.log(X30)', 'X24*X23', 'X19*X6', 'np.exp(X23)', 'np.exp(X6)', 'np.log(X16)', 'np.exp(X14)', 'np.log10(X1)', 'np.exp(X13)', 'np.square(X6)', 'np.sqrt(X9)', 'X3*X16', 'np.log10(X5)', 'np.log(X10)', 'np.log10(X32)', 'np.log(X5)', 'X25*X1', 'np.exp(X26)', 'np.sqrt(X39)', 'np.log10(X12)', 'X33*X7', 'X17*X19', 'np.sqrt(X29)', 'X1*X25', 'np.square(X39)', 'np.log10(X13)', 'np.sqrt(X27)', 'np.log(X13)', 'np.log(X14)', 'np.exp(X28)', 'X18*X18', 'np.log(X26)', 'np.log(X11)', 'np.square(X18)', 'np.square(X8)', 'np.log10(X4)', 'np.square(X21)', 'np.log10(X39)', 'np.log10(X21)', 'np.log10(X40)', 'np.log10(X29)', 'np.square(X1)', 'np.log(X40)', 'np.square(X28)', 'np.sqrt(X23)', 'np.log(X34)', 'np.square(X33)', 'np.exp(X7)', 'np.sqrt(X30)', 'np.log(X24)', 'X10*X9', 'X5*X40', 'X24*X28', 'np.log(X27)', 'np.exp(X36)', 'X39*X15', 'X33*X29', 'np.log10(X17)', 'np.square(X34)', 'np.log(X12)', 'X18*X20', 'np.sqrt(X33)', 'np.square(X5)', 'X7*X28', 'np.square(X38)', 'X40*X14', 'X36*X3', 'np.exp(X40)', 'np.square(X4)', 'X34*X5', 'np.sqrt(X6)', 'np.sqrt(X16)', 'np.sqrt(X7)', 'X19*X35', 'X11*X21', 'np.exp(X3)', 'X15*X3'}",0.8389954919418698,0.8365224995563073
4,"{'X22*X3', 'np.log10(X26)', 'np.log(X36)', 'np.sqrt(X40)', 'X14*X7', 'np.exp(X21)', 'np.square(X11)', 'np.exp(X29)', 'X18*X12', 'np.exp(X39)', 'np.exp(X37)', 'X10*X11', 'np.sqrt(X17)', 'np.square(X22)', 'np.square(X31)', 'np.log10(X14)', 'np.exp(X1)', 'np.log(X19)', 'np.sqrt(X3)', 'X36*X6', 'np.exp(X4)', 'np.sqrt(X12)', 'np.sqrt(X13)', 'np.exp(X2)', 'X40*X7', 'np.square(X37)', 'np.log10(X28)', 'X1*X29', 'np.log10(X16)', 'X12*X1', 'np.log10(X15)', 'np.exp(X32)', 'np.square(X7)', 'np.square(X12)', 'np.exp(X30)', 'np.square(X29)', 'np.exp(X11)', 'np.log(X3)', 'np.sqrt(X36)', 'X24*X8', 'np.exp(X18)', 'X14*X1', 'np.exp(X24)', 'np.sqrt(X14)', 'X14*X17', 'np.log(X18)', 'np.sqrt(X35)', 'np.log10(X31)', 'np.sqrt(X15)', 'np.square(X3)', 'np.log10(X24)', 'np.square(X19)', 'X7*X40', 'np.sqrt(X1)', 'np.log(X9)', 'X15*X38', 'np.sqrt(X37)', 'np.log(X2)', 'np.log10(X6)', 'np.exp(X38)', 'X9*X9', 'X15*X36', 'X2*X39', 'X13*X40', 'X39*X23', 'np.exp(X5)', 'X11*X33', 'X28*X25', 'X34*X10', 'np.log(X17)', 'np.log10(X35)', 'X29*X31', 'X38*X7', 'X23*X39', 'np.log(X38)', 'np.log10(X3)', 'np.square(X17)', 'np.sqrt(X32)', 'np.log(X31)', 'np.square(X14)', 'np.log10(X25)', 'X13*X18', 'np.log10(X19)', 'np.square(X9)', 'np.log(X7)', 'np.log(X30)', 'np.sqrt(X28)', 'X33*X4', 'np.exp(X25)', 'np.square(X10)', 'np.exp(X23)', 'np.log(X16)', 'X27*X34', 'X37*X8', 'np.square(X2)', 'np.exp(X14)', 'np.log10(X1)', 'np.log(X28)', 'np.square(X6)', 'X1*X6', 'X38*X22', 'X3*X16', 'np.log(X10)', 'np.log10(X5)', 'np.log(X33)', 'np.sqrt(X4)', 'np.exp(X26)', 'np.log10(X12)', 'X2*X29', 'np.square(X20)', 'X37*X28', 'np.square(X27)', 'np.log10(X13)', 'np.square(X39)', 'np.log10(X33)', 'np.log(X13)', 'X18*X35', 'np.log(X14)', 'X7*X38', 'X23*X32', 'np.square(X18)', 'np.square(X8)', 'np.square(X21)', 'X22*X10', 'np.log10(X21)', 'np.log10(X8)', 'np.log10(X40)', 'np.square(X1)', 'np.log(X40)', 'np.square(X28)', 'np.sqrt(X23)', 'np.square(X35)', 'X11*X39', 'np.log(X34)', 'np.square(X33)', 'np.exp(X7)', 'np.log(X24)', 'np.sqrt(X30)', 'X11*X20', 'np.sqrt(X20)', 'X33*X21', 'np.log(X27)', 'np.log(X35)', 'np.log(X6)', 'np.log10(X9)', 'np.square(X32)', 'np.square(X36)', 'np.log10(X17)', 'np.log(X32)', 'np.square(X34)', 'X21*X26', 'X14*X2', 'np.sqrt(X33)', 'np.square(X38)', 'np.exp(X40)', 'np.square(X4)', 'X12*X4', 'np.log10(X11)', 'X6*X16', 'np.sqrt(X16)', 'np.sqrt(X7)', 'np.exp(X9)', 'np.square(X24)', 'np.log10(X20)'}",0.8392756844083142,0.8373251594524769
