,ind,R2,testAccuracy
0,"{'np.exp(X8)', 'X14*X13', 'np.log(X13)', 'np.square(X8)', 'np.square(X4)', 'np.square(X3)', 'X4*X14', 'X7*X11', 'X3*X11', 'X1*X8', 'np.log(X4)', 'np.square(X14)', 'np.square(X6)', 'np.log(X10)', 'X4*X5', 'X12*X11', 'np.sqrt(X12)', 'np.log(X14)', 'np.exp(X11)', 'np.exp(X6)', 'X8*X1', 'X8*X9', 'X3*X12', 'X2*X13', 'np.square(X9)', 'np.log(X5)', 'np.log10(X13)', 'np.log10(X4)', 'np.log10(X3)', 'X13*X5', 'np.sqrt(X5)', 'X2*X5', 'np.sqrt(X2)', 'np.log10(X14)', 'np.square(X5)', 'np.log10(X10)', 'X6*X11', 'np.sqrt(X6)', 'X14*X11', 'np.sqrt(X14)', 'np.exp(X4)', 'np.log(X6)', 'X9*X6', 'np.square(X7)', 'np.log10(X9)', 'np.log(X1)', 'np.exp(X13)', 'np.exp(X5)', 'np.log10(X7)', 'np.sqrt(X3)', 'np.log(X9)', 'X11*X9', 'X12*X6', 'np.square(X12)', 'np.log10(X5)', 'X1*X4', 'X14*X3', 'np.log(X8)', 'np.exp(X7)', 'np.sqrt(X7)', 'np.sqrt(X11)', 'np.sqrt(X13)', 'np.log10(X6)', 'X5*X6', 'np.log10(X2)', 'np.log(X2)', 'np.exp(X9)', 'np.log10(X11)', 'np.square(X2)', 'np.exp(X3)', 'np.exp(X1)', 'X11*X11', 'np.log(X12)', 'np.exp(X10)', 'X1*X7', 'np.exp(X14)', 'X12*X10', 'np.exp(X12)'}",0.906563847,0.870715697
1,"{'np.exp(X2)', 'X14*X13', 'np.square(X7)', 'X14*X11', 'np.log(X1)', 'np.sqrt(X1)', 'np.sqrt(X3)', 'np.log(X4)', 'np.square(X6)', 'np.exp(X14)', 'np.log10(X5)', 'X5*X2', 'X1*X4', 'np.sqrt(X12)', 'np.exp(X11)', 'np.sqrt(X7)', 'X7*X1', 'np.square(X1)', 'np.sqrt(X10)', 'X9*X4', 'np.log10(X11)', 'np.log10(X3)', 'np.sqrt(X9)', 'np.log10(X14)', 'X1*X7', 'np.sqrt(X6)', 'np.sqrt(X14)', 'np.log(X6)', 'np.square(X5)', 'np.exp(X12)'}",0.875564912,0.807169695
,,,0.838942696
